Feature,Importance
perimeter_wall,0.14456598
mean_interbuilding_distance,0.14043257
adjacency,0.082455166
lal,0.063269295
squareness,0.05739384
facade_ratio,0.05161813
perimeter,0.04874355
area,0.04322776
rectangularity,0.04081445
avg_weighted_dist,0.031595055
corners,0.030787438
tes_area,0.026447233
square_compact,0.024218073
CAR,0.02379158
neighbour_dist,0.022883851
convexity,0.022481592
shared_walls,0.019753281
cell_alignment,0.01954058
num_neighbors,0.018307945
cwa,0.017118072
fractal,0.016447319
elongation,0.01609413
rect_idx,0.013995712
compact_weighted_axis,0.013457733
shape_idx,0.0105596185
